"ID";"Lake";"object_annotation_category";"Community";"Major_mm";"Taille0.8";"Taille1"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,64978;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57134;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5936;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6784;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,62434;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6466;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,59466;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,41234;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5671;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66568;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,58512;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,64342;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,71656;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,54166;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,50668;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61374;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6413;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55544;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,60102;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6943;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61904;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6201;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,53106;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,52364;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55226;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,50986;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57664;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,59254;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,7314;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66038;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57346;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,50562;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,65932;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,69536;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,58088;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,56922;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,53848;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,69642;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,64024;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,76426;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,63812;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,62328;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66674;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";1,0335;"Grand";"Grand"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,7049;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,64342;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,42082;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55968;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55544;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,82256;"Grand";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,62858;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,60738;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,62222;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,60526;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6254;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5406;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,58936;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,53636;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,62646;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5035;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,62646;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,53106;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,56498;"Petit";"Petit"
